Processor,Test  name,Seed,Status,Time (ps),CMD Parity Error Time (ps),Data Parity Error Time(ps),Error type,Failure signature
1p6,parity_basic_test,1253659674,PASS,43171133,N/A,N/A,no error,N/A
1p6,parity_basic_test,3801869329,PASS,42636215,611,N/A,cmd_parity_error,N/A
1p6,parity_basic_test,4275329342,PASS,43228416,N/A,N/A,no error,N/A
1p6,parity_basic_test,2878367348,PASS,43088585,N/A,N/A,no error,N/A
1p6,parity_basic_test,4134920106,PASS,43213696,N/A,N/A,no error,N/A
1p6,parity_basic_test,3181258,PASS,43338925,1319,N/A,cmd_parity_error,N/A
1p6,parity_basic_test,3660284640,PASS,45437010,1742,N/A,cmd_parity_error,N/A
1p6,parity_basic_test,1217641622,PASS,42408185,361,N/A,cmd_parity_error,N/A
1p6,parity_basic_test,808054619,PASS,42612914,558,N/A,cmd_parity_error,N/A
1p6,parity_basic_test,579093403,PASS,43130611,N/A,N/A,no error,N/A
1p6,parity_basic_test,1474195189,PASS,42596210,N/A,N/A,no error,N/A
1p6,parity_basic_test,930806886,PASS,43275580,1261,N/A,cmd_parity_error,N/A
1p6,parity_basic_test,401178812,PASS,42424496,N/A,379,data_parity_error,N/A
1p6,parity_basic_test,2222092311,PASS,42447525,356,N/A,cmd_parity_error,N/A
1p6,parity_basic_test,3551952085,PASS,42608755,N/A,594,data_parity_error,N/A
1p6,parity_basic_test,952912561,PASS,43189379,1169,N/A,cmd_parity_error,N/A
1p6,parity_basic_test,914053022,PASS,42858883,N/A,850,data_parity_error,N/A
1p6,parity_basic_test,2659207707,PASS,42872164,N/A,862,data_parity_error,N/A
1p6,parity_basic_test,3736926984,PASS,43560433,N/A,N/A,no error,N/A
1p6,parity_basic_test,4060686151,PASS,44611629,1632,N/A,cmd_parity_error,N/A
1p6,parity_basic_test,2643935094,PASS,42458108,357,N/A,cmd_parity_error,N/A
1p6,parity_basic_test,2770050624,PASS,43793958,N/A,N/A,no error,N/A
1p6,parity_basic_test,343227821,PASS,42616651,592,N/A,cmd_parity_error,N/A
1p6,parity_basic_test,2244223801,PASS,42459849,359,N/A,cmd_parity_error,N/A
1p6,parity_basic_test,184175615,PASS,44143311,1088,N/A,cmd_parity_error,N/A
1p6,parity_basic_test,711334269,PASS,42762680,748,N/A,cmd_parity_error,N/A
1p6,parity_basic_test,2878857960,PASS,42410194,359,N/A,cmd_parity_error,N/A
1p6,parity_basic_test,2379697267,PASS,45555601,1611,N/A,cmd_parity_error,N/A
1p6,parity_basic_test,1527308984,PASS,42454662,360,N/A,cmd_parity_error,N/A
1p6,parity_basic_test,3124820785,PASS,43235291,N/A,N/A,no error,N/A
1p6,parity_basic_test,580849874,PASS,43481726,N/A,N/A,no error,N/A
1p6,parity_basic_test,3786504049,PASS,42455098,N/A,N/A,no error,N/A
1p6,parity_basic_test,2160192090,PASS,44158290,N/A,2158,data_parity_error,N/A
1p6,parity_basic_test,494181166,PASS,44547161,N/A,N/A,no error,N/A
